2019-05-29 13:13:20,776 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@5ce9d415: startup date [Wed May 29 13:13:20 IST 2019]; root of context hierarchy
2019-05-29 13:13:20,930 | INFO | XmlBeanDefinitionReader.java 316 | Loading XML bean definitions from class path resource [spring.xml]
2019-05-29 13:33:05,394 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@9c8f3f5: startup date [Wed May 29 13:33:05 IST 2019]; root of context hierarchy
2019-05-29 13:33:05,483 | INFO | XmlBeanDefinitionReader.java 316 | Loading XML bean definitions from class path resource [spring.xml]
2019-05-29 15:18:42,429 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 15:18:42 IST 2019]; root of context hierarchy
2019-05-29 15:18:43,073 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 15:18:43,695 | WARN | AbstractApplicationContext.java 558 | Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'getDigitalSignatureUtility': Unsatisfied dependency expressed through field 'registrationProcessorRestService'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'io.mosip.registration.processor.core.spi.restclient.RegistrationProcessorRestClientService<java.lang.Object>' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
2019-05-29 15:24:12,575 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 15:24:12 IST 2019]; root of context hierarchy
2019-05-29 15:24:13,625 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 15:24:14,364 | WARN | AbstractApplicationContext.java 558 | Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'getDigitalSignatureUtility': Unsatisfied dependency expressed through field 'mapper'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'com.fasterxml.jackson.databind.ObjectMapper' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
2019-05-29 15:30:34,861 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 15:30:34 IST 2019]; root of context hierarchy
2019-05-29 15:30:35,518 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 15:30:36,934 | WARN | AbstractApplicationContext.java 558 | Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getFileSystemAdapter' defined in io.mosip.registration.processor.core.kernel.beans.KernelConfig: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [io.mosip.kernel.core.fsadapter.spi.FileSystemAdapter]: Factory method 'getFileSystemAdapter' threw exception; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getConnectionUtil': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder 'mosip.kernel.fsadapter.hdfs.name-node-url' in value "${mosip.kernel.fsadapter.hdfs.name-node-url}"
2019-05-29 15:55:17,263 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 15:55:17 IST 2019]; root of context hierarchy
2019-05-29 15:55:17,897 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 15:55:19,019 | WARN | AbstractApplicationContext.java 558 | Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getFileSystemAdapter' defined in io.mosip.registration.processor.core.kernel.beans.KernelConfig: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [io.mosip.kernel.core.fsadapter.spi.FileSystemAdapter]: Factory method 'getFileSystemAdapter' threw exception; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getConnectionUtil': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder 'mosip.kernel.fsadapter.hdfs.name-node-url' in value "${mosip.kernel.fsadapter.hdfs.name-node-url}"
2019-05-29 15:57:24,515 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 15:57:24 IST 2019]; root of context hierarchy
2019-05-29 15:57:25,155 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 15:57:26,293 | WARN | AbstractApplicationContext.java 558 | Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getFileSystemAdapter' defined in io.mosip.registration.processor.core.kernel.beans.KernelConfig: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [io.mosip.kernel.core.fsadapter.spi.FileSystemAdapter]: Factory method 'getFileSystemAdapter' threw exception; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getConnectionUtil': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder 'mosip.kernel.fsadapter.hdfs.name-node-url' in value "${mosip.kernel.fsadapter.hdfs.name-node-url}"
