ID,NAME,API_NAME,PARENT_SYNCJOB_ID,SYNC_FREQ,LOCK_DURATION,LANG_CODE,IS_ACTIVE,CR_BY,CR_DTIMES,UPD_BY,UPD_DTIMES,IS_DELETED,DEL_DTIMES
LCS_J00002,Login Credentials Sync,,NULL,0 0 11 * * ?,NULL,eng,FALSE,M1046559,now(),System,now(),FALSE,now()
LER_J00009,Last Export Registration,,NULL,0 0 11 * * ?,NULL,eng,FALSE,M1046559,now(),System,now(),FALSE,now()
MDS_J00001,Master Data Sync,masterSyncJob,NULL,0 0 11 * * ?,NULL,eng,FALSE,M1046559,now(),System,now(),FALSE,now()
PDS_J00003,Pre-registration Data Sync,preRegistrationDataSyncJob,NULL,0 0 11 * * ?,NULL,eng,FALSE,M1046559,now(),System,now(),FALSE,now()
POS_J00008,Policy Sync,keyPolicySyncJob,NULL,0 0 11 * * ?,NULL,eng,FALSE,M1046559,now(),System,now(),FALSE,now()
RCS_J00005,Registration Client Config Sync,,NULL,0 0 11 * * ?,NULL,eng,FALSE,M1046559,now(),System,now(),FALSE,now()
RPS_J00006,Registration Packet Status Reader,packetSyncStatusJob,NULL,0 0 11 * * ?,NULL,eng,FALSE,M1046559,now(),System,now(),FALSE,now()
RSS_J00004,Registration Client Setup Sync,,NULL,0 0 11 * * ?,NULL,eng,FALSE,M1046559,now(),System,now(),FALSE,now()
URS_J00007,User Detail/Role Setup Sync,userDetailServiceJob,NULL,0 0 11 * * ?,NULL,eng,FALSE,M1046559,now(),System,now(),FALSE,now()
User,Pre Reg Manual Sync,,NULL,0 0 11 * * ?,NULL,eng,FALSE,M1046559,now(),System,now(),FALSE,now()
DEL_J00013,Pre Registration Packet Deletion Job,preRegistrationPacketDeletionJob,NULL,0 0 11 * * ?,NULL,eng,FALSE,M1046559,now(),System,now(),FALSE,now()
RDJ_J00010,Registration Packet Deletion Job,registrationDeletionJob,NULL,0 0 11 * * ?,NULL,eng,FALSE,M1046559,now(),System,now(),FALSE,now()
UDM_J00012,User Machine Mapping Job,regUserMappingSyncJob,NULL,0 0 11 * * ?,NULL,eng,FALSE,M1046559,now(),System,now(),FALSE,now()
ADJ_J00012,Audit Log Deletion Job,deleteAuditLogsJob,NULL,0 0 11 * * ?,NULL,eng,FALSE,M1046559,now(),System,now(),FALSE,now()
RSJ_J00014,Registration Packet Sync,registrationPacketSyncJob,NULL,0 0 11 * * ?,NULL,eng,FALSE,M1046559,now(),System,now(),FALSE,now()
PVS_J00015,Registration Packet Virus Scan,registrationPacketVirusScanJob,NULL,0 0 11 * * ?,NULL,eng,FALSE,M1046559,now(),System,now(),FALSE,now()
