regcntr_id,device_id,lang_code,is_active,cr_by,cr_dtimes,eff_dtimes
10001,3000021,fra,TRUE,superadmin,now(),now()
10003,3000022,fra,TRUE,superadmin,now(),now()
10003,3000023,fra,TRUE,superadmin,now(),now()
10004,3000024,fra,TRUE,superadmin,now(),now()
10005,3000025,fra,TRUE,superadmin,now(),now()
10006,3000026,fra,TRUE,superadmin,now(),now()
10007,3000027,fra,TRUE,superadmin,now(),now()
10008,3000028,fra,TRUE,superadmin,now(),now()
10009,3000029,fra,TRUE,superadmin,now(),now()
10010,3000030,fra,TRUE,superadmin,now(),now()
10011,3000031,fra,TRUE,superadmin,now(),now()
10011,3000032,fra,TRUE,superadmin,now(),now()
10012,3000033,fra,TRUE,superadmin,now(),now()
10012,3000034,fra,TRUE,superadmin,now(),now()
10013,3000035,fra,TRUE,superadmin,now(),now()
10013,3000036,fra,TRUE,superadmin,now(),now()
10014,3000037,fra,TRUE,superadmin,now(),now()
10014,3000038,fra,TRUE,superadmin,now(),now()
10015,3000039,fra,TRUE,superadmin,now(),now()
10015,3000040,fra,TRUE,superadmin,now(),now()
10001,3000041,fra,TRUE,superadmin,now(),now()
10003,3000042,fra,TRUE,superadmin,now(),now()
10003,3000043,fra,TRUE,superadmin,now(),now()
10004,3000044,fra,TRUE,superadmin,now(),now()
10005,3000045,fra,TRUE,superadmin,now(),now()
10006,3000046,fra,TRUE,superadmin,now(),now()
10007,3000047,fra,TRUE,superadmin,now(),now()
10008,3000048,fra,TRUE,superadmin,now(),now()
10009,3000049,fra,TRUE,superadmin,now(),now()
10010,3000050,fra,TRUE,superadmin,now(),now()
10011,3000051,fra,TRUE,superadmin,now(),now()
10011,3000052,fra,TRUE,superadmin,now(),now()
10012,3000053,fra,TRUE,superadmin,now(),now()
10012,3000054,fra,TRUE,superadmin,now(),now()
10013,3000055,fra,TRUE,superadmin,now(),now()
10013,3000056,fra,TRUE,superadmin,now(),now()
10014,3000057,fra,TRUE,superadmin,now(),now()
10014,3000058,fra,TRUE,superadmin,now(),now()
10015,3000059,fra,TRUE,superadmin,now(),now()
10015,3000060,fra,TRUE,superadmin,now(),now()
10001,3000061,fra,TRUE,superadmin,now(),now()
10003,3000062,fra,TRUE,superadmin,now(),now()
10003,3000063,fra,TRUE,superadmin,now(),now()
10004,3000064,fra,TRUE,superadmin,now(),now()
10005,3000065,fra,TRUE,superadmin,now(),now()
10006,3000066,fra,TRUE,superadmin,now(),now()
10007,3000067,fra,TRUE,superadmin,now(),now()
10008,3000068,fra,TRUE,superadmin,now(),now()
10009,3000069,fra,TRUE,superadmin,now(),now()
10010,3000070,fra,TRUE,superadmin,now(),now()
10011,3000071,fra,TRUE,superadmin,now(),now()
10011,3000072,fra,TRUE,superadmin,now(),now()
10012,3000073,fra,TRUE,superadmin,now(),now()
10012,3000074,fra,TRUE,superadmin,now(),now()
10013,3000075,fra,TRUE,superadmin,now(),now()
10013,3000076,fra,TRUE,superadmin,now(),now()
10014,3000077,fra,TRUE,superadmin,now(),now()
10014,3000078,fra,TRUE,superadmin,now(),now()
