regcntr_id,usr_id,machine_id,lang_code,is_active,cr_by,cr_dtimes
10001,110001,10001,eng,TRUE,superadmin,now()
10003,110002,10002,eng,TRUE,superadmin,now()
10003,110003,10003,eng,TRUE,superadmin,now()
10004,110004,10004,eng,TRUE,superadmin,now()
10005,110005,10005,eng,TRUE,superadmin,now()
10006,110006,10006,eng,TRUE,superadmin,now()
10007,110007,10007,eng,TRUE,superadmin,now()
10008,110008,10008,eng,TRUE,superadmin,now()
10009,110009,10009,eng,TRUE,superadmin,now()
10010,110010,10010,eng,TRUE,superadmin,now()
10011,110011,10011,eng,TRUE,superadmin,now()
10011,110012,10012,eng,TRUE,superadmin,now()
10012,110013,10013,eng,TRUE,superadmin,now()
10012,110014,10014,eng,TRUE,superadmin,now()
10013,110015,10015,eng,TRUE,superadmin,now()
10013,110016,10016,eng,TRUE,superadmin,now()
10014,110017,10017,eng,TRUE,superadmin,now()
10014,110018,10018,eng,TRUE,superadmin,now()
10015,110019,10019,eng,TRUE,superadmin,now()
10015,110020,10020,eng,TRUE,superadmin,now()
10002,110021,10021,eng,TRUE,superadmin,now()
10003,110022,10022,eng,TRUE,superadmin,now()
10004,110023,10023,eng,TRUE,superadmin,now()
10003,110024,10024,eng,TRUE,superadmin,now()
10006,110025,10025,eng,TRUE,superadmin,now()
10007,110026,10026,eng,TRUE,superadmin,now()
10008,110027,10027,eng,TRUE,superadmin,now()
10009,110028,10028,eng,TRUE,superadmin,now()
10010,110029,10029,eng,TRUE,superadmin,now()
10001,110030,10030,eng,TRUE,superadmin,now()
10001,110031,10031,eng,TRUE,superadmin,now()
10002,110032,10032,eng,TRUE,superadmin,now()
10005,110033,10005,eng,TRUE,superadmin,now()
10005,110034,10005,eng,TRUE,superadmin,now()
10005,110035,10005,eng,TRUE,superadmin,now()
10006,110036,10033,eng,TRUE,superadmin,now()
10006,110037,10034,eng,TRUE,superadmin,now()
10006,110038,10035,eng,TRUE,superadmin,now()
