regcntr_id,usr_id,machine_id,lang_code,is_active,cr_by,cr_dtimes,eff_dtimes
10001,110001,10001,eng,TRUE,superadmin,now(),now()
10002,110002,10002,eng,TRUE,superadmin,now(),now()
10003,110003,10003,eng,TRUE,superadmin,now(),now()
10004,110004,10004,eng,TRUE,superadmin,now(),now()
10005,110005,10005,eng,TRUE,superadmin,now(),now()
10006,110006,10006,eng,TRUE,superadmin,now(),now()
10007,110007,10007,eng,TRUE,superadmin,now(),now()
10008,110008,10008,eng,TRUE,superadmin,now(),now()
10009,110009,10009,eng,TRUE,superadmin,now(),now()
10010,110010,10010,eng,TRUE,superadmin,now(),now()
10011,110011,10011,eng,TRUE,superadmin,now(),now()
10011,110012,10012,eng,TRUE,superadmin,now(),now()
10012,110013,10013,eng,TRUE,superadmin,now(),now()
10012,110014,10014,eng,TRUE,superadmin,now(),now()
10013,110015,10015,eng,TRUE,superadmin,now(),now()
10013,110016,10016,eng,TRUE,superadmin,now(),now()
10014,110017,10017,eng,TRUE,superadmin,now(),now()
10014,110018,10018,eng,TRUE,superadmin,now(),now()
10015,110019,10019,eng,TRUE,superadmin,now(),now()
10015,110020,10020,eng,TRUE,superadmin,now(),now()
